stop_id,stop_name,current_lat,current_lng,geocoded_lat,geocoded_lng,distance_m,status
S0225,Kumari Club,27.682663,85.298599,27.6826476,85.2985509,5.0,OK
S0226,Gahabahal,27.674297,85.321046,,,,NOT_FOUND
S0227,Mahapal,27.67355,85.32389,,,,NOT_FOUND
S0228,Dhungedhara,27.72341,85.294675,27.7242881,85.2895043,518.2,MISMATCH
S0230,Balkhu,27.6823,85.2985,27.6859579,85.2952622,516.8,MISMATCH
S0231,Golfutar stop,27.75144,85.345969,27.7751113,85.3611981,3028.8,MISMATCH
S0233,Balkhu Stop,27.684798,85.298592,27.6859579,85.2952622,352.3,OK
S0234,Pulchowk,27.6782,85.3169,27.6775153,85.3109861,587.3,MISMATCH
S0236,"NAC (Nepal Airlines Corporation, Kantipath)",27.7076,85.3143,,,,NOT_FOUND
S0237,Harihar Bhawan,27.6808,85.3131,,,,NOT_FOUND
S0238,Gangalal Hospital (Shahid Gangalal National Heart Centre),27.746,85.3438,,,,NOT_FOUND
S0239,Godawari,27.597,85.3798,27.7058607,85.3200086,13461.3,MISMATCH
S0240,Tribhuvan International Airport,27.6966,85.3591,27.6939119,85.3582197,311.2,OK
S0241,"President's Residence (Sheetal Niwas, Maharajgunj)",27.71716,85.31648,,,,NOT_FOUND
S0242,Bungamati,27.62,85.3,,,,NOT_FOUND
S0243,Lele,27.57,85.34,,,,NOT_FOUND
S0244,Sunakothi,27.64,85.32,,,,NOT_FOUND
S0245,Badegaun,27.6172763,85.3536735,,,,NOT_FOUND
S0246,Bafal,27.7021638,85.2780949,27.7017723,85.2879742,973.6,MISMATCH
S0247,Bhaisepati,27.6525418,85.3048668,27.6538132,85.3044253,147.9,OK
S0248,Chapagaun Dobato,27.6579362,85.3225346,27.6578462,85.3225256,10.0,OK
S0249,Chapali Bhadrakali,27.7803217,85.3730428,27.7711322,85.3621568,1480.3,MISMATCH
S0250,Dholahiti,27.6402341,85.3181452,,,,NOT_FOUND
S0252,Gongabu Bus Park,27.7331364,85.3083967,27.7329764,85.3081087,33.5,OK
S0253,Harisiddhi,27.6388413,85.3420486,27.6875486,85.3262306,5635.6,MISMATCH
S0254,Hattiban,27.6503757,85.3368812,27.6474651,85.3348035,382.9,OK
S0255,Hattigauda,27.7553479,85.3478614,27.7569277,85.3494691,236.4,OK
