route_id,stop_id,sequence_no
R2988891,S0198,1
R2988891,S0086,2
R2988891,S0088,3
R2988891,S0036,4
R2988891,S0097,5
R2988891,S0028,6
R2988891,S0099,7
R2988891,S0034,8
R2988891,S0062,9
R2988891,S0069,10
R2988891,S0029,11
R2988891,S0127,12
R2988891,S0017,13
R2988891,S0203,14
R2988891,S0107,15
R2988891,S0159,16
R2988891,S0022,17
R2988891,S0004,18
R2988891,S0092,19
R2988891,S0007,20
R2988891,S0110,21
R2988891,S0147,22
R2988891,S0202,23
R2988891,S0098,24
R2988891,S0095,25
R2988891,S0229,26
R2988891,S0019,27
R2988891,S0089,28
R2988891,S0178,29
R2988891,S0190,30
R2988891,S0117,31
R2988891,S0160,32
R2988891,S0121,33
R2988891,S0153,34
R2988891,S0136,35
R2988891,S0208,36
R2988893,S0031,1
R2988893,S0198,2
R2988893,S0086,3
R2988893,S0088,4
R2988893,S0036,5
R2988893,S0097,6
R2988893,S0028,7
R2988893,S0099,8
R2988893,S0034,9
R2988893,S0062,10
R2988893,S0069,11
R2988893,S0029,12
R2988893,S0127,13
R2988893,S0017,14
R2988893,S0203,15
R2988893,S0107,16
R2988893,S0159,17
R2988893,S0022,18
R2988893,S0004,19
R2988893,S0092,20
R2988893,S0007,21
R2988893,S0110,22
R2988893,S0147,23
R2988893,S0202,24
R2988893,S0098,25
R2988893,S0014,26
R2988893,S0081,27
R2988893,S0161,28
R2988893,S0199,29
R2988893,S0165,30
R2988893,S0224,31
R2988930,S0025,1
R2988930,S0039,2
R2988983,S0145,1
R2988983,S0190,2
R2988983,S0178,3
R2988983,S0089,4
R2988983,S0229,5
R2988983,S0019,6
R2988983,S0095,7
R2988983,S0098,8
R2988983,S0202,9
R2988983,S0147,10
R2988983,S0110,11
R2988983,S0007,12
R2988983,S0092,13
R2988983,S0004,14
R2988983,S0022,15
R2988983,S0159,16
R2988983,S0107,17
R2988983,S0017,18
R2988983,S0203,19
R2988983,S0127,20
R2988983,S0029,21
R2988983,S0069,22
R2988983,S0034,23
R2988983,S0062,24
R2988983,S0028,25
R2988983,S0099,26
R2988983,S0097,27
R2988983,S0036,28
R2988983,S0088,29
R2988983,S0067,30
R2988983,S0076,31
R2988983,S0100,32
R2988983,S0171,33
R2988983,S0013,34
R2988983,S0198,35
R2988993,S0198,1
R2988993,S0086,2
R2988993,S0088,3
R2988993,S0036,4
R2988993,S0097,5
R2988993,S0028,6
R2988993,S0099,7
R2988993,S0034,8
R2988993,S0062,9
R2988993,S0069,10
R2988993,S0029,11
R2988993,S0127,12
R2988993,S0017,13
R2988993,S0203,14
R2988993,S0107,15
R2988993,S0159,16
R2988993,S0022,17
R2988993,S0004,18
R2988993,S0092,19
R2988993,S0007,20
R2988993,S0110,21
R2988993,S0147,22
R2988993,S0202,23
R2988993,S0098,24
R2988993,S0095,25
R2988993,S0229,26
R2988993,S0019,27
R2988993,S0089,28
R2988993,S0178,29
R2988993,S0190,30
R2988993,S0117,31
R2988993,S0160,32
R2988993,S0121,33
R2988993,S0153,34
R2988993,S0136,35
R2988993,S0001,36
R2988993,S0183,37
R2989012,S0198,1
R2989012,S0086,2
R2989012,S0067,3
R2989012,S0076,4
R2989012,S0056,5
R2989012,S0023,6
R2989012,S0230,7
R2989012,S0233,8
R2989012,S0225,9
R2989012,S0043,10
R2989012,S0049,11
R2989012,S0073,12
R2989012,S0173,13
R2989021,S0219,1
R2989021,S0194,2
R2989021,S0112,3
R2989021,S0223,4
R2989021,S0011,5
R2989021,S0216,6
R2989021,S0060,7
R2989036,S0198,1
R2989036,S0086,2
R2989036,S0088,3
R2989036,S0036,4
R2989036,S0097,5
R2989036,S0028,6
R2989036,S0099,7
R2989036,S0034,8
R2989036,S0062,9
R2989036,S0069,10
R2989036,S0029,11
R2989036,S0127,12
R2989036,S0017,13
R2989036,S0203,14
R2989036,S0053,15
R2989036,S0139,16
R2989036,S0070,17
R2989036,S0071,18
R2989036,S0204,19
R2989036,S0052,20
R2989036,S0195,21
R2989036,S0172,22
R2989036,S0026,23
R2989036,S0135,24
R2989074,S0146,1
R2989074,S0371,2
R2989074,S0370,3
R2989074,S0369,4
R2989074,S0135,5
R2989074,S0026,6
R2989074,S0172,7
R2989074,S0195,8
R2989074,S0052,9
R2989074,S0204,10
R2989074,S0222,11
R2989074,S0035,12
R2989074,S0055,13
R2989074,S0005,14
R2989074,S0031,15
R2989074,S0198,16
R2989075,S0135,1
R2989075,S0026,2
R2989075,S0172,3
R2989075,S0195,4
R2989075,S0052,5
R2989075,S0204,6
R2989075,S0222,7
R2989075,S0035,8
R2989075,S0055,9
R2989075,S0005,10
R2989075,S0031,11
R2989075,S0198,12
R3014451,S0081,1
R3014451,S0161,2
R3014451,S0014,3
R3014451,S0319,4
R3014451,S0202,5
R3014451,S0147,6
R3014451,S0322,7
R3014451,S0323,8
R3014451,S0324,9
R3014451,S0325,10
R3014451,S0326,11
R3014451,S0312,12
R3014451,S0159,13
R3014451,S0057,14
R3014451,S0150,15
R3014451,S0181,16
R3014451,S0156,17
R3014451,S0107,18
R3014451,S0017,19
R3014451,S0203,20
R3014451,S0127,21
R3014451,S0029,22
R3014451,S0069,23
R3014451,S0034,24
R3014451,S0304,25
R3014451,S0015,26
R3014451,S0062,27
R3014451,S0028,28
R3014451,S0099,29
R3014451,S0097,30
R3014451,S0036,31
R3014451,S0102,32
R3014451,S0005,33
R3014451,S0278,34
R3014451,S0013,35
R3014451,S0031,36
R3020174,S0198,1
R3020174,S0137,2
R3020174,S0094,4,Krishna Pauroti Stop
R3020174,S0042,3,Kamaladi Road (कमलादी) stop
R3020174,S0005,5
R3020174,S0055,6
R3020174,S0035,7
R3020174,S0222,8
R3020174,S0016,9
R3020174,S0148,10
R3020174,S0027,11
R3020174,S0139,12
R3020174,S0053,13
R3020174,S0107,14
R3020174,S0159,15
R3020174,S0156,16
R3020174,S0120,17
R3020212,S0009,1
R3020212,S0073,2
R3020212,S0049,3
R3020212,S0043,4
R3020212,S0225,5
R3020212,S0230,6
R3020212,S0233,7
R3020212,S0023,8
R3020212,S0056,9
R3020212,S0067,10
R3020212,S0076,11
R3020212,S0086,12
R3020212,S0198,13
R3020213,S0198,1
R3020213,S0086,2
R3020213,S0067,3
R3020213,S0076,4
R3020213,S0056,5
R3020213,S0023,6
R3020213,S0230,7
R3020213,S0233,8
R3020213,S0225,9
R3020213,S0043,10
R3020213,S0049,11
R3020213,S0047,12
R3020213,S0221,13
R3020213,S0084,14
R3020213,S0009,15
R3020231,S0198,1
R3020231,S0086,2
R3020231,S0067,3
R3020231,S0076,4
R3020231,S0056,5
R3020231,S0023,6
R3020231,S0230,7
R3020231,S0233,8
R3020231,S0225,9
R3020231,S0043,10
R3020231,S0049,11
R3020231,S0047,12
R3020231,S0221,13
R3020231,S0084,14
R3020231,S0085,15
R3020231,S0048,16
R3020244,S0198,1
R3020244,S0086,2
R3020244,S0088,3
R3020244,S0036,4
R3020244,S0097,5
R3020244,S0028,6
R3020244,S0099,7
R3020244,S0034,8
R3020244,S0062,9
R3020244,S0069,10
R3020244,S0029,11
R3020244,S0127,12
R3020244,S0017,13
R3020244,S0203,14
R3020244,S0053,15
R3020244,S0139,16
R3020244,S0070,17
R3020244,S0071,18
R3020244,S0204,19
R3020244,S0052,20
R3020244,S0195,21
R3020244,S0172,22
R3020244,S0026,23
R3020244,S0135,24
R3020244,S0125,25
R3028077,S0113,1
R3028077,S0177,2
R3028077,S0079,3
R3028077,S0003,4
R3028077,S0207,5
R3028077,S0193,6
R3028077,S0152,7
R3028077,S0166,8
R3028077,S0137,9
R3028077,S0013,10
R3068536,S0130,1
R3068536,S0345,2
R3068536,S0230,3
R3068536,S0233,4
R3068536,S0189,5
R3068536,S0106,6
R3068536,S0214,7
R3068536,S0011,8
R3068536,S0219,9
R3070257,S0130,1
R3070257,S0023,2
R3070257,S0056,3
R3070257,S0185,4
R3070257,S0132,5
R3070257,S0097,6
R3070257,S0028,7
R3070257,S0099,8
R3070257,S0034,9
R3070257,S0062,10
R3070257,S0069,11
R3070257,S0029,12
R3070257,S0127,13
R3070257,S0017,14
R3070257,S0203,15
R3070257,S0107,16
R3070257,S0024,17
R3070257,S0220,18
R3070262,S0130,1
R3070262,S0023,2
R3070262,S0056,3
R3070262,S0185,4
R3070262,S0132,5
