route_id,route_name,short_name,vehicle_type,route_type,operator,start_stop_id,end_stop_id,total_stops,approx_distance_km,estimated_duration_min,service_start_time,service_end_time,frequency_min,fare_type,has_ac,is_express,status,created_at,updated_at,operator_id,return_leg_verified,operator_id_raw,is_multi_operator,haversine_distance_km,max_consecutive_stop_jump_km,approx_distance_km_original,distance_flagged_for_recompute,status_original,status_corrected_for_return_leg,is_bidirectional
R3072924,Matathirtha-Naikap-Thapathali-KrishnaPauroti-Ratopul-Chabahil-kapan,,bus,public,Om Janata Yatayat,S0232,S0002,22,16.07,89,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP023,False,OP023,False,16.632,2.104,16.07,False,pending_release,False,True
R3102124,RNAC-Bishalnagar-Chapal_Karkhana-Mandikhatar,,microbus,public,"Dhumrabaraha Yatayat, Bishalnagar Micro Bus",S0100,S0072,14,6.73,41,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP012,False,OP012;OP022,True,6.726,1.572,6.73,False,active,True,False
R-SAJHA-01,Lagankhel-Gongabu Buspark,,bus,public,Sajha Yatayat,S0112,S0252,19,16.27,84,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP008,True,OP008,False,16.676,2.385,16.27,False,active,False,True
R-SAJHA-02,Lagankhel-Budhanilkantha,,bus,public,Sajha Yatayat,S0112,S0096,23,25.36,124,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP008,True,OP008,False,25.353,3.722,25.36,False,active,False,True
R-SAJHA-03,Godawari-Ratnapark,,bus,public,Sajha Yatayat,S0239,S0013,17,15.47,79,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP008,True,OP008,False,15.777,2.757,15.47,False,active,False,True
R-SAJHA-04,Lamatar-Ratnapark,,bus,public,Sajha Yatayat,S0200,S0013,21,20.62,105,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP008,True,OP008,False,20.28,3.015,20.62,False,active,False,True
R-SAJHA-05,Thankot-Tribhuvan International Airport,,bus,public,Sajha Yatayat,S0010,S0240,20,25.03,121,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP008,True,OP008,False,25.956,4.476,25.03,False,active,False,True
R-SAJHA-06,Thankot-Budhanilkantha,,bus,public,Sajha Yatayat,S0010,S0096,20,36.83,168,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP008,True,OP008,False,24.322,4.476,36.83,False,active,False,True
R-SAJHA-07,Lele-Jamal,,bus,public,Sajha Yatayat,S0243,S0152,18,19.69,97,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP008,True,OP008,False,19.662,2.748,19.69,False,active,False,True
R-SAJHA-08,Bungamati-Jamal,,bus,public,Sajha Yatayat,S0242,S0152,13,12.28,62,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP008,True,OP008,False,12.176,3.65,12.28,False,active,False,True
