route_id,route_name,short_name,vehicle_type,route_type,operator,start_stop_id,end_stop_id,total_stops,approx_distance_km,estimated_duration_min,service_start_time,service_end_time,frequency_min,fare_type,has_ac,is_express,status,created_at,updated_at,operator_id,return_leg_verified,operator_id_raw,is_multi_operator,haversine_distance_km,max_consecutive_stop_jump_km,approx_distance_km_original,distance_flagged_for_recompute,status_original,status_corrected_for_return_leg,is_bidirectional
R2989075,Jorpati - Purano Bus Park,4,bus,public,Gokarneshwor Yatayat,S0135,S0198,11,6.93,41.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP002,False,OP002,False,7.449,1.104,7.10,False,pending_release,False,True
R3102124,RNAC-Bishalnagar-Chapal_Karkhana-Mandikhatar,,microbus,public,Dhumrabaraha Yatayat;Bishalnagar Micro Bus,S0100,S0072,13,6.45,41.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP012,False,OP012;OP022,True,6.726,1.572,6.73,False,active,False,True
R3020213,Ratna Park - Panga Dobato- Dhokashi,21.0,bus;microbus,public,Samyukta Yatayat,S0198,S0009,14,7.48,47.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP020,False,OP020,False,8.060,1.796,7.72,False,active,False,True
R3020231,Ratna Park - Panga Dobato- Nagaun- Bhatkepati,21.0,bus;microbus,public,Samyukta Yatayat,S0198,S0048,14,9.73,57.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP020,False,OP020,False,10.381,2.535,10.04,False,active,False,True
R3074202,kapan-Chabahil-Mitidevi-Ratnapark,,microbus,public,Nepal Yatayat,S0002,S0013,11,6.10,38.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP007,False,OP007,False,6.452,1.104,6.12,False,pending_release,False,True
R-SAJHA-05,Thankot-Tribhuvan International Airport,,bus,public,Sajha Yatayat,S0010,S0240,21,19.15,121.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP008,False,OP008,False,25.823,4.476,25.03,False,active,False,True
R3072924,Matathirtha-Naikap-Thapathali-KrishnaPauroti-Ratopul-Chabahil-kapan,,bus,public,Om Janata Yatayat,S0232,S0002,19,16.18,89.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP023,False,OP023,False,16.589,2.104,16.07,False,pending_release,False,True
R2989074,Sakhu - Purano Bus Park,4,bus,public,Panchpokhari Yatayat,S0146,S0198,15,15.76,78.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP017,False,OP017,False,16.314,3.333,15.89,False,pending_release,False,True
R3070344,Kausaltar-Naikap,40,bus,public,Chandragiri Yatayat,S0054,S0004,16,11.75,75.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP004,False,OP004,False,12.826,2.104,11.68,False,active,False,True
R-SAJHA-04,Lamatar-Ratnapark,,bus,public,Sajha Yatayat,S0200,S0013,22,18.15,105.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP008,False,OP008,False,20.266,3.015,20.62,False,active,False,True
R3020244,Attrekhle-Purano Buspark,,bus,public,Juneli Yatayat,S0198,S0125,21,12.78,83.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP015,False,OP015,False,13.793,1.719,12.77,False,active,False,True
R3028077,Balaju-Ratnapark,,microbus;tempo,public,Balaju Microbus and Tempo Samiti,S0113,S0013,10,3.01,23.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP010,False,OP010,False,3.541,0.922,3.18,False,pending_release,False,True
R-SAJHA-07,Lele-Jamal,,bus,public,Sajha Yatayat,S0243,S0152,18,18.62,97.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP008,False,OP008,False,19.657,2.748,19.69,False,active,False,True
R2301161,MAV School-Purano Buspark,14.0,microbus,public,Local Microbus,S0101,S0198,23,8.85,59.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP030,False,,False,8.720,0.969,7.89,False,pending_release,False,True
R3351750,Narayantar - Jorpati Central Line,,bus,public,Gokarneshwor Yatayat,S0344,S0013,8,7.09,47.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP002,False,OP002,False,6.994,1.715,8.03,False,active,False,True
R3297196,New Bus Park - Ratna Park,,microbus,public,Samakhusi Yatayat,S0174,S0013,8,6.24,37.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP021,False,OP021,False,4.362,1.306,6.24,False,active,False,True
R3236048,Koteshwor - New Bus Park,,microbus,public,Digo Yatayat,S0107,S0174,14,16.31,96.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP011,False,OP011,False,12.289,2.333,16.31,False,active,False,True
